Letter    Number of Occurrences     Percent Frequency 

  a               535                     7.54

  b               108                     1.52

  c               176                     2.48

  d               244                     3.44

  e               866                    12.20

  f               218                     3.07

  g               169                     2.38

  h               361                     5.08

  i               530                     7.46

  j                20                     0.28

  k                51                     0.72

  l               330                     4.65

  m               185                     2.61

  n               464                     6.54

  o               581                     8.18

  p                96                     1.35

  q                 6                     0.08

  r               408                     5.75

  s               404                     5.69

  t               652                     9.18

  u               173                     2.44

  v                77                     1.08

  w               150                     2.11

  x                 5                     0.07

  y               112                     1.58

  z                 5                     0.07

