Letter    Number of Occurrences     Percent Frequency 

  a                13                    10.92

  b                 1                     0.84

  c                 7                     5.88

  d                 4                     3.36

  e                15                    12.61

  f                 1                     0.84

  g                 3                     2.52

  h                 4                     3.36

  i                 9                     7.56

  j                 0                     0.00

  k                 0                     0.00

  l                 2                     1.68

  m                 7                     5.88

  n                 8                     6.72

  o                10                     8.40

  p                 2                     1.68

  q                 0                     0.00

  r                 6                     5.04

  s                 9                     7.56

  t                 7                     5.88

  u                 1                     0.84

  v                 1                     0.84

  w                 3                     2.52

  x                 0                     0.00

  y                 2                     1.68

  z                 0                     0.00

